"","Candidatus_Pelagibacter","Pseudoalteromonas","Polaribacter_1","SAR92_clade","Formosa","Ulvibacter","Balneatrix","Polaribacter_4","Planktomarina","NS2b_marine_group","Zhongshania","Haloferula","NS5_marine_group","Oceaniovalibus","Roseobacter_clade_NAC11-7_lineage","Paraglaciecola","Pseudohongiella","NS4_marine_group","Sulfitobacter","NS10_marine_group","Colwellia","OM43_clade","Polaribacter_3","Amylibacter","Oleispira","Lentimonas","Alteromonas","Porticoccus","Marinoscillum","Ascidiaceihabitans","Magnetospira","Glaciecola","OM75_clade","AEGEAN-169_marine_group","OM60(NOR5)_clade","Ralstonia","Emcibacter","Pelagicoccus","Pseudofulvibacter","Loktanella","Fluviicola","Pseudophaeobacter","Alcanivorax","marine_group","Crocinitomix","Candidatus_Nitrosopelagicus","Lentisphaera","Leadbetterella","Idiomarina","Luteolibacter","Roseibacillus","Salinirepens","Nitrospina","Cycloclasticus","Croceibacter","Pelomonas","Marinobacter","Candidatus_Tenderia","Nitrosomonas","Hydrotalea","Litoricola","Caulobacter","NS3a_marine_group","Opitutus","Rubritalea","Oceanibulbus","Sphingomonas","Candidatus_Aquiluna","BAL58_marine_group","Brevundimonas","Peredibacter","Mycobacterium"
"433246R202b",310490.616439187,3952.90574880232,31637.0402089531,17404.1655250212,36739.1767894138,6135.42850470785,2920.92577468752,1820.83684655845,12831.621980276,13046.0321161933,0,0,940.105980560069,725.695844642862,641.961708722531,518.432713256228,3717.54189505685,3067.71425235391,902.216455501937,505.788012932903,0,5272.84003482553,0,841.147456290592,30.3472807759742,0,0,1562.88495996267,0,445.313359212665,493.143312609581,0,227.604605819807,341.40690872971,166.910044267858,0,0,0,0,131.944699025975,0,0,0,262.620699022854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.472807759742,0,0,0,0
"433310R202b",355750.293629086,2886.5003021333,7573.65105543977,21388.6133771245,43818.1867231024,1740.73573386856,993.508802182015,1390.17089857558,6034.55054407766,30888.3885220898,0,0,2262.95645402912,3210.69035357978,6159.52644291948,0,2291.00164085255,4216.44877759273,156.300295623633,1987.01760436403,38.1304017895017,4582.00328170512,0,676.952785393326,0,0,135.390557078665,2188.68506271739,35.5883750035349,0,155.699140640465,0,1201.1076563693,1423.5350001414,0,0,0,0,0,0,0,0,0,376.415504845081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433318R202b",580080.161951499,260.460455272023,55295.7546542505,11383.8582984226,80054.6914316503,4380.64287453889,1352.94736488523,2506.93188199323,23584.8829643421,39944.8193867906,0,0,2927.34902990513,3384.09852393288,2571.21218665972,0,1074.3993779971,9986.20484669767,619.473515241571,1496.20061528485,0,6780.65385224835,0,1619.38456973476,0,0,0,974.122102717368,238.755417332688,0,0,0,620.764085064989,1671.28792132882,0,0,0,0,0,0,0,0,0,404.047629332241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433434R202b",437170.484441687,25567.5851034562,504.033976761995,5946.09634675644,5958.13297903732,3938.07208320208,3159.61597373191,1369.16692195049,5651.98385363223,3179.24091766814,0,1203.66322808835,1569.99551489784,1596.16210681281,3726.72653311969,0,3310.07387724296,2943.74159043345,56.930017544719,2156.56328365828,176.250686970079,3279.98229654074,0,457.91535851187,0,1388.84218625579,148.277354184796,0,210.64106491546,392.498878724462,361.098968426504,0,1384.2127123016,3039.24965092307,0,0,0,0,0,0,0,0,0,763.863202440682,60.1831614044173,481.465291235339,331.007387724295,0,0,347.210546563945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433442R202b",418754.180428035,38146.7237459285,147.390990373575,3576.68803306542,2849.55914722245,3887.70438376675,1725.02047992777,622.317514910649,2947.8198074715,1509.51159223178,0,1259.752054475,498.423638944455,626.589717530173,1814.042958444,0,1408.40279690305,1395.58618904448,0,1943.37750270343,56.1489487137426,2620.284273308,0,256.332157171434,0,1234.5570133855,213.610130976195,196.5213204981,19.65213204981,455.701612749218,360.28908757985,0,622.317514910649,2358.2558459772,91.7099495657799,0,0,0,0,0,0,0,0,655.071068326999,0,1277.38858323765,0,0,0,277.1454519845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433561R202b",147395.802123003,39471.9672982422,12551.1985903399,5058.49417189672,1495.24627325604,2644.50335726936,5947.1942167924,1184.79259787661,2997.10380490526,1278.17662268019,0,0,1729.9459462137,572.975727408359,1325.64206755425,211.192976448594,2065.46730966725,1079.83887088498,1410.9973994079,0,50.6863143476625,1774.02100216819,1640.96942700557,308.525391681425,0,0,190.99190913612,446.03956625943,258.500203173079,0,570.221036411204,0,0,0,162.19620591252,0,0,77.9789451502502,0,253.431571738313,139.387364456072,0,0,0,0,0,101.372628695325,0,0,0,311.915780601,0,329.461043259807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433569R202b",170048.83554896,92227.1721407161,44676.7547604185,14275.4440026199,6731.20972756673,21117.5207139348,24813.0868388735,4989.01426866711,5554.82610083938,3190.5819339532,0,0,3006.95131904941,550.891844711346,527.938017848371,571.932852669067,4751.44216063534,1744.49084158592,6877.46282710579,175.97933928279,158.381405354511,4751.44216063534,11416.659635971,1170.64517001161,0,0,673.312254647198,485.702976420501,527.938017848371,0,475.144216063534,0,0,369.55661249386,295.645289995088,0,0,162.442467030268,0,482.030364122426,422.350414278697,0,0,0,0,0,0,0,0,0,162.442467030268,0,0,0,0,0,0,0,0,0,0,0,183.630614903781,0,0,0,0,422.350414278697,0,0,0,0
"433635R202b",437753.016162241,91889.2081827996,334.9011514332,5656.10833531627,1910.17693780418,7226.53048181138,1951.52275896877,992.299707950223,5241.93106591097,2718.03833047234,0,3931.03345841819,798.154112916483,776.582380134958,3549.37972459118,0,3894.77635370462,1596.30822583297,0,2232.674342888,411.095593293664,1637.29451811787,0,625.58025066427,0,1641.11105545614,1380.5908980177,357.22789486208,0,474.578121193585,198.459941590045,0,1091.52967874525,1091.52967874525,0,0,0,0,0,0,0,0,0,0,0,446.5348685776,297.689912385067,0,0,1717.44180222154,0,0,0,0,0,0,68.4344626172569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433643R202b",569562.396924311,23993.8150303115,810.712521501995,3694.88373436061,2997.17962494676,8958.07072507254,3079.06977863384,2161.90005733865,12589.7210190209,5753.67340688284,0,3376.39402894381,2862.5949375828,1395.69305414485,3905.53040661411,0,1211.97427456864,4856.44215778973,292.148656397115,1954.44500133141,93.5887470709374,3046.31371715901,0,640.879463637939,0,1108.6666960711,726.330058789667,235.843642618762,353.765463928144,783.29712222415,0,0,655.121229496561,3832.45919255489,117.921821309381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1486.62125154989,0,0,0,0,0,0,101.656742508087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"433938R102b",177748.975693092,2395.86871998758,4659.60518291176,6361.00230474559,2120.33410158186,921.884391992115,5032.94357983007,457.410784010604,2535.18207797831,3300.94088745563,0,0,4378.95086196255,1546.38672205129,2236.08435030346,860.673250910917,5394.88233104096,2802.82593371797,235.695377464418,188.094154172585,227.178653740914,3898.67883194085,175.269552751727,840.104324960556,20.5193622733729,289.375621803976,426.247622103881,622.420655625644,1162.7638621578,275.078407287969,1077.26651935208,0,222.293091294873,820.774490934915,41.0387245467458,0,222.293091294873,236.761872385071,0,66.9109639349116,265.041762697733,0,0,0,0,0,34.1989371222881,0,0,0,341.989371222881,0,701.078211006907,0,0,0,0,0,478.785119712034,0,56.9982285371468,0,0,0,0,0,0,0,0,0,0,0
"433946R202b",164946.315270634,10542.3557097985,14511.2937529179,6616.23103035412,3465.09784865189,1581.47631814523,5436.94911059193,1081.64656601565,6558.96494051812,5060.72421806474,0,0,4894.25302668103,2879.95161093816,2886.3543490683,1103.98145085963,3445.95366164277,3878.77875924041,724.374643588569,114.865122054759,415.702346483891,2795.05130333246,746.623293355933,1098.70986313247,61.2613984292048,0,1093.16082341969,612.613984292048,872.974927616168,1098.70986313248,938.065163447198,0,344.595366164277,1148.65122054759,367.568390575229,0,229.730244109518,117.810381594625,0,216.412548798821,440.316301209909,0,0,0,0,0,0,0,0,0,559.599312574466,0,727.479106346806,0,0,0,316.869302220025,0,804.055854383312,0,0,0,0,0,0,0,0,0,0,0,0,0
